Id,LotFrontage,LotArea,BldgType,OverallQual,OverallCond,FullBath,HalfBath,TotRmsAbvGrd,YearBuilt,TotalBsmtSF,BedroomAbvGr,Heating,CentralAir,GrLivArea,PoolArea,YrSold,SalePrice
1,70,19900,1Fam,7,3,1,1,6,2000,1728,2,GasA,Y,1484,0,2006,222120.852883693
2,,7259,1Fam,6,5,2,0,8,1999,880,3,GasA,Y,1125,0,2008,180904.855657188
3,70,8163,1Fam,6,6,1,1,9,2009,780,3,GasW,Y,796,0,2008,145260.345589893
4,80,10320,1Fam,6,5,1,2,5,1963,1140,3,GasA,Y,2097,0,2006,161332.874785687
5,65,6000,1Fam,8,5,2,0,6,1989,1107,3,GasA,Y,1301,0,2006,182900.215080458
6,,14762,1Fam,6,6,1,1,7,2007,1117,2,GasA,Y,1750,0,2008,252180.976971001
7,65,13300,1Fam,5,6,2,0,9,1962,780,4,GasA,Y,1767,0,2007,159242.72973037
8,76,6780,1Fam,5,6,2,0,5,1974,1004,2,GasA,Y,1795,0,2007,112166.91441568
9,86,10628,1Fam,7,7,1,0,7,1990,979,1,GasA,Y,1692,0,2008,216600.568499232
10,,8405,1Fam,5,5,2,0,5,2003,729,3,GasA,Y,1573,0,2009,150697.927235596
11,50,7844,1Fam,6,5,1,1,8,1959,1856,3,GasA,Y,1060,0,2009,173440.486183
12,72,10452,1Fam,6,5,1,0,11,1959,0,2,GasA,Y,1028,0,2010,132807.851778694
13,65,7500,1Fam,5,6,2,1,6,1954,1722,3,GasW,Y,1574,0,2006,164525.619604036
14,,19296,1Fam,8,5,2,1,4,1954,1486,2,GasA,Y,764,0,2009,229611.610891425
15,99,7599,1Fam,7,6,2,2,5,2006,0,3,GasA,Y,1629,0,2007,158079.796037625
16,,9084,1Fam,6,7,3,0,6,1992,1595,5,GasA,Y,2554,0,2007,239984.412997628
17,,12735,1Fam,4,6,2,0,6,1977,1234,1,GasA,Y,2084,0,2009,150718.712504748
18,35,7200,1Fam,5,5,1,0,5,1915,1337,3,GasA,Y,2243,0,2006,119998.868013661
19,87,9360,1Fam,7,6,3,1,7,1934,876,3,GasA,Y,2234,648,2009,209660.966007583
20,,7630,1Fam,7,5,2,0,6,1992,728,4,GasA,Y,987,0,2007,218550.187120338
21,81,4571,1Fam,7,5,2,0,6,1976,960,3,GasA,Y,968,0,2007,137617.459425836
22,61,9060,1Fam,6,7,1,1,10,2009,1013,3,GasA,Y,2087,0,2009,181973.018614958
23,75,8450,1Fam,6,7,2,0,8,1973,1501,6,GasA,Y,1073,0,2009,178042.941841413
24,88,14601,1Fam,7,5,2,0,6,1976,1008,2,GasA,Y,2646,0,2007,137399.966919723
25,,6060,1Fam,7,5,1,0,8,2004,864,3,Wall,Y,1375,0,2006,174723.091184701
26,72,11241,2fmCon,6,6,2,0,5,1957,1200,3,Grav,Y,1396,0,2006,134368.515638571
27,50,10159,1Fam,6,5,1,1,6,1945,1502,3,GasA,Y,2320,0,2007,154325.99365703
28,,7259,1Fam,5,6,2,0,7,1977,1226,2,GasW,Y,1905,0,2006,177280.391051197
29,60,6000,1Fam,7,6,2,0,5,2007,907,3,GasA,N,1340,0,2007,237479.60567474
30,74,10552,TwnhsE,7,5,2,1,6,1981,1670,2,GasA,Y,1950,0,2009,191043.395508365
31,70,9464,1Fam,8,5,1,0,5,1976,1330,1,GasA,Y,2291,0,2008,267040.477835996
32,79,32668,1Fam,4,8,2,1,7,1947,264,3,GasA,Y,1316,0,2007,157844.542054686
33,50,10625,1Fam,9,5,2,0,4,1956,536,4,GasA,Y,720,0,2008,224171.530389331
34,59,10463,1Fam,6,6,1,1,7,1957,910,3,GasA,Y,2144,0,2006,144545.964595788
35,,4500,Duplex,5,5,2,1,7,1982,783,4,GasA,Y,1363,0,2008,130412.138616051
36,122,5400,1Fam,7,5,2,1,7,2001,1720,3,GasA,Y,1362,0,2006,229974.981613956
37,70,14442,1Fam,9,7,2,0,6,1997,1856,2,GasA,Y,1368,0,2006,348090.666163521
38,98,9100,1Fam,8,6,1,1,5,1954,816,3,GasA,N,784,0,2009,202503.756984791
39,65,6600,1Fam,6,5,2,0,8,1983,1073,3,GasA,N,1086,0,2010,181856.025995851
40,65,8012,1Fam,5,6,2,0,4,1996,1063,3,GasA,Y,952,0,2006,153567.122112681
41,,2522,1Fam,6,9,1,0,7,1968,1063,2,GasA,Y,2414,0,2008,129872.529714034
42,54,2280,1Fam,5,5,2,0,9,2008,1228,3,GasA,Y,1888,0,2008,146845.805695307
43,,9600,1Fam,7,7,2,1,5,1948,1064,3,GasA,Y,1775,0,2007,183989.025394523
44,,6900,Duplex,9,5,1,1,6,1928,1095,2,GasA,Y,936,0,2009,246775.9347797
45,80,115149,1Fam,7,5,2,1,8,2005,1800,4,GasA,Y,1367,0,2008,317989.383788934
46,,14536,1Fam,7,4,2,1,9,2005,1391,3,GasA,Y,1479,0,2009,284874.420612145
47,45,7500,1Fam,5,8,1,1,6,2002,648,3,GasA,Y,1429,0,2008,135427.422912282
48,,8068,2fmCon,7,6,2,1,3,2005,530,2,GasA,Y,2046,0,2006,154046.603631747
49,63,8450,1Fam,5,5,1,0,7,1941,988,3,GasA,Y,1279,0,2008,126365.612455228
50,,10480,1Fam,4,5,2,1,4,1973,813,2,GasA,Y,1344,0,2007,121924.141193072
