Id,LotFrontage,LotArea,BldgType,OverallQual,OverallCond,FullBath,HalfBath,TotRmsAbvGrd,YearBuilt,TotalBsmtSF,BedroomAbvGr,Heating,CentralAir,GrLivArea,PoolArea,YrSold,SalePrice
1,60,8400,1Fam,5,5,1,0,6,1936,576,3,GasA,Y,1533,0,2007,103773.322654683
2,52,6000,1Fam,5,5,2,1,5,1995,912,2,GasA,Y,729,0,2006,146860.115959084
3,69,11310,1Fam,6,8,2,1,6,1994,1013,3,GasA,Y,1982,0,2008,213236.993833437
4,53,11670,1Fam,4,5,1,0,7,1950,864,3,GasA,Y,825,0,2007,130162.100110297
5,,6204,1Fam,7,7,2,1,4,1950,689,2,GasA,Y,1400,0,2007,146937.809567359
6,50,10832,1Fam,5,5,2,0,6,1946,1253,1,GasA,Y,1632,0,2007,198239.425791234
7,90,8800,1Fam,6,5,2,1,6,1957,2136,2,GasA,Y,767,0,2008,198241.490259964
8,,9600,1Fam,6,6,2,1,6,2003,907,4,GasA,Y,1582,0,2006,193529.032500751
9,60,6120,Duplex,5,5,2,1,6,1972,520,4,GasA,Y,2207,0,2007,126071.1799326
10,,8366,1Fam,10,5,2,0,5,1968,892,3,GasA,Y,2042,0,2007,231325.841822429
11,74,10593,1Fam,5,6,1,1,5,2007,755,3,GasA,Y,789,0,2009,112068.767548155
12,,12257,TwnhsE,6,6,1,0,6,2003,1004,3,GasA,Y,2610,0,2008,185534.099521145
13,90,14803,1Fam,6,6,2,0,7,1912,961,3,GasA,Y,2730,0,2007,168718.745668938
14,81,8487,1Fam,6,5,2,1,4,1920,783,3,GasA,Y,1728,0,2009,151338.780593363
15,75,3922,1Fam,6,5,2,0,5,1915,1121,2,GasA,Y,1646,0,2006,163367.827398462
16,70,4712,Twnhs,5,6,1,1,8,2003,1086,3,GasA,Y,1250,0,2006,169815.048856756
17,71,15611,TwnhsE,5,5,2,1,4,1958,1021,3,GasA,Y,1982,0,2008,187869.114005113
18,21,11645,1Fam,6,5,2,1,5,1935,742,2,GasA,Y,2046,0,2007,147462.188669927
19,92,9920,1Fam,7,5,2,1,5,1938,806,2,GasA,Y,2466,0,2007,195127.963146452
20,121,16059,1Fam,7,4,1,1,8,2000,1090,2,GasA,Y,1895,0,2007,192844.740024966
21,55,5000,1Fam,6,7,1,0,6,2006,784,2,GasA,Y,928,0,2010,156054.429747099
22,,9000,1Fam,7,5,1,0,4,1960,928,3,GasA,N,1547,0,2008,146896.25032201
23,21,10356,1Fam,6,5,2,0,6,1994,1097,1,GasA,Y,1236,0,2007,132705.08793599
24,50,7472,1Fam,6,5,1,0,9,1949,1494,1,GasA,Y,848,0,2007,135702.695595693
25,44,8000,1Fam,4,5,1,0,8,1988,1922,4,GasA,Y,1362,0,2009,142652.46308636
26,85,17104,1Fam,5,8,1,1,6,2008,872,4,GasA,N,2728,0,2008,134152.299838523
27,78,6300,TwnhsE,5,5,2,1,7,2000,938,3,GasA,Y,1742,0,2009,156596.258985873
28,82,9000,1Fam,5,5,2,0,6,1985,1856,3,GasA,Y,2358,0,2007,202778.290502343
29,50,9742,1Fam,7,6,1,0,5,1980,1273,3,GasA,Y,1776,0,2009,177395.91535347
30,,7301,1Fam,4,6,2,0,6,1990,2000,2,GasA,Y,1090,0,2008,162673.964821946
31,,10175,1Fam,5,5,2,1,5,1993,764,3,GasA,Y,1632,0,2007,145374.854971881
32,,12090,1Fam,5,8,2,1,8,1993,864,1,GasA,N,816,0,2010,162472.929271701
33,50,2651,1Fam,7,5,2,1,8,1928,1604,3,GasA,Y,729,0,2007,185914.342536838
34,65,10410,1Fam,6,6,2,0,6,1972,1442,3,GasA,Y,902,0,2009,141866.673344443
35,,16492,1Fam,6,5,2,1,5,2007,1057,3,GasA,Y,1419,0,2010,189049.560604724
36,69,6040,1Fam,5,6,1,0,6,1960,1905,3,GasA,Y,2217,0,2009,163685.843489269
37,77,10500,1Fam,6,9,1,0,5,2008,864,2,GasA,Y,1709,0,2008,178438.870586282
38,85,14000,1Fam,9,6,2,0,4,2007,768,3,GasA,Y,1484,0,2006,228124.77394533
39,110,7200,1Fam,5,5,2,1,10,1954,2078,3,GasA,Y,1056,0,2008,171481.677438325
40,70,12886,1Fam,7,5,2,0,4,1925,924,6,GasA,Y,1595,0,2010,163413.513450337
41,41,11923,1Fam,7,8,3,1,7,1974,1143,3,GasA,Y,1269,0,2008,185953.352592505
42,90,7200,1Fam,9,5,0,0,14,1960,1869,3,GasA,Y,2240,0,2008,338336.239383313
43,64,7990,TwnhsE,4,5,1,1,6,2003,1800,4,GasA,Y,1208,0,2009,168905.099230455
44,,17503,1Fam,6,5,2,0,9,2003,1092,2,GasA,N,1484,0,2009,215962.110391447
45,75,7128,1Fam,5,8,2,0,8,1955,1844,2,Grav,Y,1317,0,2009,155446.244424714
