id,species1,species2,species3,species4,species5,species6,species7,species8,species9,species10
sample_1,3.20E-07,4.14E-05,0.000749689,1.35E-13,0.402099403,1.42E-08,0.000714007,0.267637661,4.85E-10,0.328757555
sample_2,6.09E-10,6.38E-08,0.033392972,9.75E-16,0.001550787,1.03E-08,0.818480959,3.51E-05,4.04E-12,0.146540152
sample_3,4.36E-06,0.004340794,0.032027465,5.38E-12,0.958888664,2.65E-05,6.71E-06,0.002203151,5.94E-08,0.002502348
sample_4,1.20E-08,2.12E-07,2.46E-05,6.05E-15,0.002230291,1.36E-10,0.008207268,0.033416997,1.19E-11,0.956120572
sample_5,1.05E-08,5.29E-07,0.000106843,5.52E-15,0.009288396,5.17E-10,0.011508887,0.031038419,1.47E-11,0.948056916
sample_6,0.837661827,0.129854967,3.76E-05,0.001854708,1.26E-06,2.53E-06,1.44E-09,0.00125036,0.029336401,3.21E-07
sample_7,1.39E-07,2.21E-06,5.11E-05,5.57E-14,0.014357213,5.79E-10,0.001553824,0.27268671,1.09E-10,0.711348839
sample_8,0.013007613,0.968308693,0.000201114,2.02E-08,0.000273404,3.09E-06,2.61E-08,0.018131224,6.33E-05,1.15E-05
sample_9,5.67E-10,3.36E-09,4.39E-06,5.05E-16,1.46E-05,8.60E-12,0.528331348,0.000531756,6.88E-13,0.471117884
sample_10,1.41E-11,2.30E-10,2.80E-06,1.63E-17,4.87E-07,2.17E-12,0.990349646,1.71E-05,2.84E-14,0.009629935
sample_11,0.093612018,0.000927296,2.87E-06,0.899695109,2.11E-08,1.50E-07,9.67E-11,5.63E-05,0.005706168,1.43E-08
sample_12,1.57E-10,1.64E-08,0.002866836,2.05E-16,0.000244582,1.04E-09,0.92031586,3.52E-05,7.49E-13,0.076537512
sample_13,0.006527052,0.528473717,0.032272614,1.34E-06,0.000416637,0.392790047,5.46E-08,0.000220792,0.039286317,1.14E-05
sample_14,8.02E-07,0.00044822,0.083084375,1.47E-12,0.913458885,3.37E-05,1.10E-05,0.000276126,1.70E-08,0.002686877
sample_15,8.17E-09,1.06E-07,0.994602387,1.06E-13,0.00418027,5.47E-06,6.54E-05,1.62E-07,7.61E-10,0.00114623
sample_16,1.48E-07,5.45E-07,0.998000985,1.18E-11,0.001313338,0.000582331,1.91E-06,1.12E-07,1.17E-07,0.000100511
sample_17,0.000191136,9.36E-05,0.000305483,0.018865482,4.00E-08,0.04258776,1.48E-10,3.26E-07,0.937956153,1.28E-08
sample_18,1.35E-05,5.83E-06,0.00744704,4.53E-06,7.30E-07,0.965273151,1.51E-09,5.89E-08,0.02725499,1.24E-07
sample_19,9.50E-10,1.24E-08,1.11E-05,6.92E-16,8.93E-05,2.48E-11,0.221361774,0.002056195,1.21E-12,0.776481606
sample_20,1.72E-09,4.14E-08,0.946080353,8.97E-15,0.001804176,2.22E-07,0.029698481,7.93E-07,4.23E-11,0.022415933
sample_21,4.81E-10,3.32E-09,4.79E-06,4.26E-16,1.47E-05,8.96E-12,0.571355043,0.000518255,6.06E-13,0.428107195
sample_22,0.000716935,0.000303401,0.000150006,0.287302908,2.87E-08,0.003941927,1.35E-10,1.13E-06,0.707583655,1.19E-08
sample_23,0.039993627,0.00045209,1.75E-06,0.95592975,1.01E-08,1.05E-07,5.08E-11,2.57E-05,0.003596909,7.16E-09
sample_24,0.014606935,0.007618453,4.72E-05,0.286648541,7.32E-08,0.000113036,1.69E-10,1.28E-05,0.690952895,2.19E-08
sample_25,0.035001446,0.596018668,0.000950636,9.01E-05,8.34E-06,0.00375206,3.43E-09,0.000152704,0.364025347,6.71E-07
sample_26,2.89E-07,5.36E-05,0.506376017,1.04E-12,0.490284129,9.48E-05,2.48E-05,3.13E-05,1.20E-08,0.003134911
sample_27,5.89E-11,5.42E-09,0.000699253,7.34E-17,5.48E-05,2.54E-10,0.962203653,2.27E-05,2.45E-13,0.037019547
sample_28,0.002503929,0.00010357,1.46E-05,7.58E-10,0.000667328,1.92E-09,2.44E-06,0.994340407,1.97E-07,0.002367556
sample_29,1.79E-10,1.09E-09,2.77E-06,1.84E-16,3.44E-06,4.19E-12,0.856123929,0.000137751,2.47E-13,0.143732112
sample_30,1.18E-05,1.67E-05,1.49E-05,3.26E-12,0.003915719,7.08E-10,1.99E-05,0.971221324,3.17E-09,0.024799622
sample_31,8.73E-07,0.000753453,0.007207344,6.94E-13,0.983521847,1.43E-06,1.11E-05,0.003901139,5.76E-09,0.004602786
sample_32,8.59E-07,0.000738771,0.007080187,6.79E-13,0.983548629,1.38E-06,1.12E-05,0.003956643,5.62E-09,0.004662275
sample_33,1.97E-09,5.98E-08,0.940616941,9.07E-15,0.002929263,2.56E-07,0.028743883,1.21E-06,4.47E-11,0.027708382
sample_34,4.71E-11,2.67E-09,4.93E-05,4.65E-17,1.81E-05,3.33E-11,0.947427459,7.44E-05,1.23E-13,0.052430749
sample_35,8.38E-06,1.45E-05,0.116474313,2.04E-08,4.53E-05,0.883057282,2.87E-08,2.22E-07,0.00039715,2.78E-06
sample_36,0.000536312,0.000490093,8.26E-05,0.016950163,3.31E-08,0.004054216,7.69E-11,7.04E-07,0.977885848,8.29E-09
sample_37,6.32E-11,5.17E-09,0.004310735,1.06E-16,5.22E-05,8.47E-10,0.975241065,5.68E-06,3.82E-13,0.020390276
sample_38,0.000282105,0.000163122,0.000168829,0.029782514,3.14E-08,0.015012426,1.06E-10,4.34E-07,0.954590529,9.77E-09
sample_39,4.58E-06,0.004176282,0.006048126,2.98E-12,0.964786649,1.99E-06,9.50E-06,0.019946721,2.32E-08,0.005026128
sample_40,1.29E-05,0.001934053,0.000556928,4.13E-12,0.24144637,7.89E-08,1.47E-05,0.743032657,1.56E-08,0.013002349
