id,species1,species2,species3,species4,species5,species6,species7,species8,species9,species10
sample_1,0.635712426,0.36424054,4.70E-05,0,0,0,0,0,0,0
sample_2,0.021981987,0.978017907,1.06E-07,0,0,0,0,0,0,0
sample_3,0.988490733,0.010727288,0.000781978,0,0,0,0,0,0,0
sample_4,0.081222897,0.918774455,2.65E-06,0,0,0,0,0,0,0
sample_5,0.092167323,0.907830559,2.12E-06,0,0,0,0,0,0,0
sample_6,0.004733656,1.79E-05,0.99524845,0,0,0,0,0,0,0
sample_7,0.319118779,0.680857011,2.42E-05,0,0,0,0,0,0,0
sample_8,0.447705589,0.001698885,0.550595526,0,0,0,0,0,0,0
sample_9,0.002763269,0.99723668,5.04E-08,0,0,0,0,0,0,0
sample_10,0.000319556,0.99968044,3.47E-09,0,0,0,0,0,0,0
sample_11,0.001100957,6.13E-06,0.998892909,0,0,0,0,0,0,0
sample_12,0.006458064,0.993541903,3.30E-08,0,0,0,0,0,0,0
sample_13,0.205273998,0.000262405,0.794463596,0,0,0,0,0,0,0
sample_14,0.987218965,0.012486753,0.000294282,0,0,0,0,0,0,0
sample_15,0.984568502,0.015399062,3.24E-05,0,0,0,0,0,0,0
sample_16,0.997872707,0.001360788,0.000766506,0,0,0,0,0,0,0
sample_17,0.00259696,5.25E-06,0.997397794,0,0,0,0,0,0,0
sample_18,0.072140034,5.61E-05,0.927803862,0,0,0,0,0,0,0
sample_19,0.006259567,0.99374033,1.03E-07,0,0,0,0,0,0,0
sample_20,0.511743382,0.488253468,3.15E-06,0,0,0,0,0,0,0
sample_21,0.002529609,0.997470348,4.34E-08,0,0,0,0,0,0,0
sample_22,0.001403615,4.00E-06,0.998592385,0,0,0,0,0,0,0
sample_23,0.001006361,5.70E-06,0.998987937,0,0,0,0,0,0,0
sample_24,0.001275606,3.90E-06,0.998720495,0,0,0,0,0,0,0
sample_25,0.014712577,2.76E-05,0.985259843,0,0,0,0,0,0,0
sample_26,0.988622479,0.011235058,0.000142464,0,0,0,0,0,0,0
sample_27,0.003002657,0.996997327,1.59E-08,0,0,0,0,0,0,0
sample_28,0.926040436,0.032462726,0.041496838,0,0,0,0,0,0,0
sample_29,0.001200121,0.99879986,1.96E-08,0,0,0,0,0,0,0
sample_30,0.867704202,0.130985736,0.001310061,0,0,0,0,0,0,0
sample_31,0.971988218,0.02771466,0.000297121,0,0,0,0,0,0,0
sample_32,0.971615015,0.028091167,0.000293818,0,0,0,0,0,0,0
sample_33,0.504184821,0.49581206,3.12E-06,0,0,0,0,0,0,0
sample_34,0.001402255,0.998597735,9.98E-09,0,0,0,0,0,0,0
sample_35,0.74908099,0.000449476,0.250469534,0,0,0,0,0,0,0
sample_36,0.002018716,4.39E-06,0.997976896,0,0,0,0,0,0,0
sample_37,0.004874714,0.995125264,2.28E-08,0,0,0,0,0,0,0
sample_38,0.002100911,4.57E-06,0.997894518,0,0,0,0,0,0,0
