id,card_name,mana_cost,cmc,colors,type,types,supertypes,subtypes,rarity,power,toughness,loyalty,text,set,set_name
1669af17-d287-5094-b005-4b143441442f,Abundance,{2}{G}{G},4,Green,Enchantment,Enchantment,"","",Rare,"","",,"If you would draw a card, you may instead choose land or nonland and reveal cards from the top of your library until you reveal a card of the chosen kind. Put that card into your hand and put all other cards revealed this way on the bottom of your library in any order.",10E,Tenth Edition
047d5499-a21c-5f5c-9679-1599fcaf9815,Academy Researchers,{1}{U}{U},3,Blue,Creature — Human Wizard,Creature,"",Human Wizard,Uncommon,2,2,,"When Academy Researchers enters the battlefield, you may put an Aura card from your hand onto the battlefield attached to Academy Researchers.",10E,Tenth Edition
ee19938c-4007-58f1-8904-fae28007b422,Adarkar Wastes,"",0,"",Land,Land,"","",Rare,"","",,"{T}: Add {C}.
{T}: Add {W} or {U}. Adarkar Wastes deals 1 damage to you.",10E,Tenth Edition
8774e18f-3752-5c06-af94-5da3960da9ed,Afflict,{2}{B},3,Black,Instant,Instant,"","",Common,"","",,"Target creature gets -1/-1 until end of turn.
Draw a card.",10E,Tenth Edition
4e875bca-0c52-5d60-889d-1db67e261737,Aggressive Urge,{1}{G},2,Green,Instant,Instant,"","",Common,"","",,"Target creature gets +1/+1 until end of turn.
Draw a card.",10E,Tenth Edition
13fbd62d-8c76-52fa-a91d-a20cc34747ab,Agonizing Memories,{2}{B}{B},4,Black,Sorcery,Sorcery,"","",Uncommon,"","",,Look at target player's hand and choose two cards from it. Put them on top of that player's library in any order.,10E,Tenth Edition
2854f284-974b-5842-8748-7c300e825b6c,Air Elemental,{3}{U}{U},5,Blue,Creature — Elemental,Creature,"",Elemental,Uncommon,4,4,,Flying,10E,Tenth Edition
9d9ce25a-f48a-5b21-a672-8a08d42350e5,Air Elemental,{3}{U}{U},5,Blue,Creature — Elemental,Creature,"",Elemental,Uncommon,4,4,,Flying,10E,Tenth Edition
f9db3498-1b48-5877-8cef-d07c65c6cc20,Ambassador Laquatus,{1}{U}{U},3,Blue,Legendary Creature — Merfolk Wizard,Creature,Legendary,Merfolk Wizard,Rare,1,3,,{3}: Target player puts the top three cards of their library into their graveyard.,10E,Tenth Edition
fe4aa077-872f-58b2-bc37-80164f869895,Anaba Bodyguard,{3}{R},4,Red,Creature — Minotaur,Creature,"",Minotaur,Common,2,3,,First strike (This creature deals combat damage before creatures without first strike.),10E,Tenth Edition
067159f1-c2be-5ed1-916b-e7645682c334,Anaba Bodyguard,{3}{R},4,Red,Creature — Minotaur,Creature,"",Minotaur,Common,2,3,,First strike (This creature deals combat damage before creatures without first strike.),10E,Tenth Edition
ad41be73-582f-58ed-abd4-a88c1f616ac3,Ancestor's Chosen,{5}{W}{W},7,White,Creature — Human Cleric,Creature,"",Human Cleric,Uncommon,4,4,,"First strike (This creature deals combat damage before creatures without first strike.)
When Ancestor's Chosen enters the battlefield, you gain 1 life for each card in your graveyard.",10E,Tenth Edition
fcd5d3ab-d58e-5cea-861a-cb377f37bf83,Ancestor's Chosen,{5}{W}{W},7,White,Creature — Human Cleric,Creature,"",Human Cleric,Uncommon,4,4,,"First strike (This creature deals combat damage before creatures without first strike.)
When Ancestor's Chosen enters the battlefield, you gain 1 life for each card in your graveyard.",10E,Tenth Edition
9eb2e54c-a12b-5e88-a9c0-d8c84c52d59c,Angel of Mercy,{4}{W},5,White,Creature — Angel,Creature,"",Angel,Uncommon,3,3,,"Flying
When Angel of Mercy enters the battlefield, you gain 3 life.",10E,Tenth Edition
e2be2630-ada5-57c7-8612-0356dfa75ce5,Angel of Mercy,{4}{W},5,White,Creature — Angel,Creature,"",Angel,Uncommon,3,3,,"Flying
When Angel of Mercy enters the battlefield, you gain 3 life.",10E,Tenth Edition
cf706172-38d6-53dc-a493-1eb19f027a66,Angel's Feather,{2},2,"",Artifact,Artifact,"","",Uncommon,"","",,"Whenever a player casts a white spell, you may gain 1 life.",10E,Tenth Edition
8fb2ccd5-774d-5856-998e-6031e2a63c6a,Angelic Blessing,{2}{W},3,White,Sorcery,Sorcery,"","",Common,"","",,Target creature gets +3/+3 and gains flying until end of turn. (It can't be blocked except by creatures with flying or reach.),10E,Tenth Edition
53438513-19d4-5bf1-90df-90fcbddbb60d,Angelic Blessing,{2}{W},3,White,Sorcery,Sorcery,"","",Common,"","",,Target creature gets +3/+3 and gains flying until end of turn. (It can't be blocked except by creatures with flying or reach.),10E,Tenth Edition
bef2dc94-74fe-5ea1-936e-acf3c8e5e169,Angelic Chorus,{3}{W}{W},5,White,Enchantment,Enchantment,"","",Rare,"","",,"Whenever a creature enters the battlefield under your control, you gain life equal to its toughness.",10E,Tenth Edition
cff007ed-d371-5591-9228-a3280de53075,Angelic Wall,{1}{W},2,White,Creature — Wall,Creature,"",Wall,Common,0,4,,"Defender (This creature can't attack.)
Flying",10E,Tenth Edition
