id,current_date,future_date,current_price,future_price
00040b50-3b84-5cea-b663-70038b87fa08,2012-05-04,2012-07-06,0.62,0.32
00087aa5-4199-58ba-8e06-7acb796060cb,2017-04-28,2017-06-30,0.22,0.18
00146a3c-53c0-561c-ba57-0ebd9876eb57,2011-02-04,2011-04-08,1.3,1
001a3adc-7a1f-528e-9058-bf583e9d3729,2015-07-17,2015-09-18,0.25,0.15
001d0853-bf7f-5be5-bfb8-d4114f3a53c7,2019-01-25,2019-03-29,0.43,0.49
00205972-7dfb-5c93-8296-091af94d22f1,2015-03-27,2015-05-29,0.16,0.13
002688ac-e3a4-5bc4-a612-8d0d91de9b75,2018-01-19,2018-03-23,0.15,0.17
002ca814-c13f-50ae-a453-5d413b4d0fc4,2017-04-28,2017-06-30,0.24,0.15
002caf05-1da9-593c-a6c3-824817ff5208,2018-04-27,2018-06-29,8.4,4.74
002e6438-65e7-5131-816d-c3eed3600123,2014-02-07,2014-04-11,0.23,0.15
002fcac9-6633-5bb0-bab0-57a920ce7d56,2017-01-20,2017-03-24,0.16,0.15
00350343-bcd9-5a0c-972b-7c02f02926b1,2014-05-02,2014-07-04,0.25,0.15
004ea957-6268-5e4f-a3ae-491accf62761,2014-05-02,2014-07-04,0.14,0.12
0052a6c6-4279-5c04-8d20-9c9893d2aa26,2017-09-29,2017-12-01,0.79,0.99
0056d6e4-cfd9-5b94-b36c-798ac3ce8899,2012-05-04,2012-07-06,0.88,0.78
005a975d-6519-5feb-817a-9b606684a171,2017-09-29,2017-12-01,0.22,0.2
005cc47d-3192-5b04-aac3-98e31b940824,2018-01-19,2018-03-23,0.25,0.2
005d8d50-4a03-5f9f-9ede-07b0255f3f5c,2018-04-27,2018-06-29,0.15,0.15
006292e3-e1d5-5c19-b3dc-1cc0174a2380,2015-10-02,2015-12-04,0.9,0.74
0062a781-25c5-58d1-8b19-1690c15319e6,2015-01-23,2015-03-27,0.26,0.18
006fbd9e-aed0-5ccf-a62f-9a791e9c15a7,2017-01-20,2017-03-24,0.51,0.25
0075c27c-abdf-503e-9629-9d3080be5b15,2018-07-13,2018-09-14,2.08,1.48
007a46ff-49dc-58f2-8107-c225e3171585,2015-01-23,2015-03-27,0.23,0.17
00922ac3-2e47-543f-b3b3-c49fb4843a67,2016-07-22,2016-09-23,0.33,0.25
009a7f95-4de3-5466-a608-8195abd5c503,2017-09-29,2017-12-01,3.33,8.63
009f7381-95a1-5080-b0e0-8f87e46f1e68,2015-01-23,2015-03-27,0.15,0.13
00a6efa0-ea60-5eb5-89e0-b8acc027021a,2015-03-27,2015-05-29,0.18,0.13
00d34ac1-d681-5570-87c7-185cdf671a13,2017-04-28,2017-06-30,0.15,0.14
00e51520-f020-51dc-98e3-35fcfde28150,2018-07-13,2018-09-14,0.24,0.18
00e5461a-b77d-5590-8674-98e78f411105,2017-01-20,2017-03-24,0.16,0.15
00ecdefd-0445-576e-a9a5-f5b21aa177e9,2013-09-27,2013-11-29,,0.23
00fe5d08-4ea4-51bf-a6b0-ed1092fc4154,2016-01-22,2016-03-25,0.15,0.14
01011108-8c88-51fd-a389-fe78a12cfa26,2015-10-02,2015-12-04,3.09,1.06
01145ca6-386c-53cf-90bc-413ca9c061a9,2017-09-29,2017-12-01,0.17,0.13
0133c0c6-2669-58d6-a87d-79d5c54ef841,2015-01-23,2015-03-27,0.2,0.15
0136b95a-5ee4-5ae6-a18d-b6f49d682808,2015-01-23,2015-03-27,0.15,0.11
01486b5b-a142-5a85-9ff2-dd3fb6d28e96,2014-05-02,2014-07-04,0.19,0.15
014d4ee3-e4e5-5a43-8308-7a4901f73d0b,2018-10-05,2018-12-07,0.25,0.15
015c12ab-8657-5607-afcf-506b2e6d684f,2015-10-02,2015-12-04,0.15,0.13
01658f63-32da-57f1-bc3d-df96e9c31398,2018-10-05,2018-12-07,0.1,0.1
01863f99-8ad6-559a-9f68-fc5120914d68,2017-01-20,2017-03-24,0.29,0.26
01931cfc-8347-5050-86c6-a990a287a010,2016-04-08,2016-06-10,8.79,7.04
01968b28-351f-566f-8b16-8ed4d615a784,2019-07-12,2019-09-13,0.15,0.15
01ada4be-b483-55ce-be35-1518e8c05c65,2017-01-20,2017-03-24,0.26,0.21
01bbdc8c-7768-58f1-b975-47c70e01ab51,2019-05-03,2019-07-05,2.5,1.81
01be7d4c-3237-5803-8d43-3d1cb616da26,2017-09-29,2017-12-01,0.22,0.22
01c853d8-075b-55bb-bb58-df8f43e1915d,2017-09-29,2017-12-01,3.67,5.99
01c89e31-62d7-5173-96d8-0a4c7328388f,2014-05-02,2014-07-04,1,0.49
01de6b1e-83f2-5f8a-866b-0458845fc5f0,2017-04-28,2017-06-30,0.17,0.13
01e4dad4-0517-5982-9356-322b64052e3e,2016-04-08,2016-06-10,2.59,0.96
01f09003-cb49-5242-ab29-320fe9e3710a,2018-04-27,2018-06-29,0.25,0.16
01f77b29-2d70-5b43-a316-088cb1abd232,2018-10-05,2018-12-07,0.1,0.1
02066e44-e1e9-55e7-862e-ba22b0b9619a,2015-10-02,2015-12-04,0.15,0.14
020a022d-191e-54ac-a5d4-47e546bfcdd0,2019-05-03,2019-07-05,0.14,0.15
020ab66c-b691-54aa-bfbd-73c9c97176f8,2019-01-25,2019-03-29,9.5,4.97
0218fb7f-b477-5464-92b2-c8327eebb7c4,2011-07-15,2011-09-16,0.32,0.35
021a661f-64e2-5ab8-9973-6cacfb0827c8,2013-02-01,2013-04-05,4.09,1.9
0236acca-0963-5bdf-b62a-c389b8d722a1,2017-04-28,2017-06-30,3.5,3.77
02376c0c-4658-5640-911b-07fe44c15464,2014-09-26,2014-11-28,7.23,1.89
02441c21-8fa5-556c-a439-bda9c0630268,2017-04-28,2017-06-30,0.22,0.15
02448750-278a-59f6-8574-45cf51f87ab8,2016-01-22,2016-03-25,0.26,0.19
02492bd5-b84f-5cea-b5f6-e9e49c2d73bb,2016-01-22,2016-03-25,10.95,20.9
026389ea-4619-5116-a0ee-e836d8f90354,2014-09-26,2014-11-28,0.15,0.14
026b6180-aac0-558e-abca-de9a1348c44e,2018-10-05,2018-12-07,0.1,0.1
026e1879-aa78-5909-b656-910e2ffceba1,2014-02-07,2014-04-11,0.16,0.13
026e4c5e-87ff-51b6-ac19-94a427d6e308,2019-01-25,2019-03-29,0.25,0.2
02709d29-d2ab-50ea-a9c0-d3cbdf7f76bd,2017-07-14,2017-09-15,0.15,0.12
027371cc-bcd8-5b62-9d7c-8f6bc569016d,2017-07-14,2017-09-15,0.16,0.12
0289541c-c482-5a16-9f3e-7825938e68e9,2014-02-07,2014-04-11,0.24,0.17
028bfc05-61a1-53a8-95a2-dcfd5610ba01,2014-09-26,2014-11-28,0.82,0.4
028eaac2-41fd-545b-934a-6ff1d4c727d1,2018-01-19,2018-03-23,0.17,0.15
02a84d04-6bc2-5416-bb62-311e705cb9ab,2018-07-13,2018-09-14,2.99,1.95
02af68ca-f4cb-5382-8f28-77852f1cb31e,2014-09-26,2014-11-28,0.16,0.14
02b9af02-9d75-57dd-ba64-dd220eaed055,2015-07-17,2015-09-18,4.94,3.04
02c39d90-96b3-56b7-a9d4-d5b4f33aea01,2018-04-27,2018-06-29,0.15,0.12
02c6dc69-bb03-5191-bf25-361ca6ddc449,2017-04-28,2017-06-30,0.19,0.17
02d62f47-4493-53f6-a735-f6c2a41e1335,2016-07-22,2016-09-23,0.72,0.36
02f5f975-be30-5198-8807-684c85acd601,2015-01-23,2015-03-27,1.49,1.59
02fe37dd-af15-5a75-81c5-075eef1ad00b,2018-10-05,2018-12-07,0.25,0.25
0316eb9f-332b-522c-bd57-11afe8c1358c,2011-09-30,2011-12-02,2.88,3.58
031b48eb-15ea-5ffa-afb0-ee29197a3363,2019-01-25,2019-03-29,0.2,0.19
0333efab-3ff3-5679-a6ff-ba74be373415,2016-01-22,2016-03-25,1.4,0.69
03388961-2dea-5b15-9cff-433525ffc782,2016-01-22,2016-03-25,0.15,0.14
034086d5-9531-5c0f-9227-87530a203533,2015-03-27,2015-05-29,0.25,0.19
035e097c-9dd0-55aa-bcc7-96ca3867eace,2014-09-26,2014-11-28,0.16,0.14
036cd3a8-07a0-5e44-af53-c79fdd01b069,2017-07-14,2017-09-15,0.22,0.2
03713353-7f34-5a96-bffa-43f1de48ce0a,2019-07-12,2019-09-13,0.16,0.15
037f7c4e-17da-57bc-89ac-873f581a5777,2017-09-29,2017-12-01,0.16,0.13
03a0b3c8-0e09-5917-8cb1-36cba5fb4a75,2016-09-30,2016-12-02,0.15,0.13
03b33f9b-9e84-5437-952d-4d9cb8911774,2019-05-03,2019-07-05,3.27,2.01
03b5dfc0-9e2a-5b01-9703-c6ec4e306f2d,2019-05-03,2019-07-05,0.14,0.15
03b71e96-96f4-5e8c-8d33-383f8755f801,2013-09-27,2013-11-29,,0.15
03db5ddc-7c6f-528a-8761-11899d90726b,2016-07-22,2016-09-23,0.2,0.15
040234b9-797c-5192-ac49-e5b47a67a971,2013-09-27,2013-11-29,,0.15
0402b326-43fd-5088-a55f-5358c3dc4140,2018-01-19,2018-03-23,0.16,0.15
04054c80-4da8-5ee1-84a8-abbc65ede68e,2018-10-05,2018-12-07,0.25,0.26
041909c5-7409-536c-8ad6-3c6bcb232b57,2015-03-27,2015-05-29,0.54,0.23
04250e23-828f-5ca9-a217-49f8ed6a0ac2,2018-04-27,2018-06-29,3.19,1.93
042e1e09-b33a-5c6f-8210-c7ffb9250a9f,2017-09-29,2017-12-01,0.21,0.18
043d55a8-4518-5d00-9683-5c0fabfe2150,2018-07-13,2018-09-14,0.78,0.47
04484ca4-0d90-5a02-9b20-d9a6a1581854,2015-03-27,2015-05-29,0.16,0.13
044cb8aa-0f13-56ba-a2dd-40633cfb6427,2012-05-04,2012-07-06,1.69,1.41
0456cf5b-958d-556f-b3b1-ee71b2dde807,2018-04-27,2018-06-29,1.46,0.49
045e999e-0ab9-5592-a566-5cb8b2910041,2017-09-29,2017-12-01,1,0.41
04650b89-de65-5d96-9f74-3ad78e81bd49,2018-07-13,2018-09-14,0.52,0.4
046523d2-a648-568f-961e-dcb0f015f82f,2019-01-25,2019-03-29,0.15,0.12
0472819f-51a6-59b4-a734-affb36183f2c,2012-07-13,2012-09-14,0.8,0.77
049466d5-3ec5-568d-b56f-99982b09cdf2,2010-10-01,2010-12-03,,0.39
049d8701-53f0-5ae4-bd93-c2527152b9e1,2014-02-07,2014-04-11,0.22,0.15
04b8e301-6380-5bb7-8928-396978a6ec61,2018-10-05,2018-12-07,0.11,0.11
04bd9007-be31-503e-b5af-aafe52ea8f8d,2014-09-26,2014-11-28,0.23,0.16
04c1adf2-77b6-5da2-977a-083d8ebbd917,2016-04-08,2016-06-10,0.89,0.33
04cc3a52-b098-555f-bd46-efc27e6d4e16,2017-09-29,2017-12-01,0.15,0.13
